No;Zeit;Intervall(mi);innen Luftfeuchtigkeit(%);innen Temperatur(°C);außen Luftfeuchtigkeit(%);außen Temperatur(°C);absolut Luftdruck(Hpa);Wind(km/h);Windbö"(km/h);Richtung;relative Luftdruck(Hpa);Taupunkt(°C);Windauskühlung(°C);Stunde Niederschlag(mm);24 Stunde Niederschlag(mm);Woche Niederschlag(mm);Monat Niederschlag(mm);Total Niederschlag(mm);Wind Level(bft);Windbö Level(bft)
215;30-08-2021 02:02;30;64;21.2;95;14.0;983.7;0.0;0.0;NW;1008.7;13.2;14.0;0.0;3.3;10.2;10.2;687.3;0;0
216;30-08-2021 02:32;30;64;21.0;95;14.0;983.5;0.0;0.0;NW;1008.5;13.2;14.0;0.0;3.3;10.2;10.2;687.3;0;0
217;30-08-2021 03:02;30;64;20.9;95;14.0;983.3;0.0;0.0;SE;1008.3;13.2;14.0;0.0;3.3;10.2;10.2;687.3;0;0
218;30-08-2021 03:32;30;63;20.9;95;14.1;983.5;0.0;0.0;E;1008.5;13.3;14.1;0.0;3.0;10.2;10.2;687.3;0;0
219;30-08-2021 04:02;30;63;20.9;96;14.1;983.6;0.0;1.1;E;1008.6;13.5;14.1;0.0;3.0;10.2;10.2;687.3;0;1
220;30-08-2021 04:32;30;63;20.9;96;14.2;983.4;2.5;5.0;NEE;1008.4;13.6;14.2;0.0;3.0;10.2;10.2;687.3;1;1
221;30-08-2021 05:02;30;63;20.8;96;14.0;983.8;0.0;0.0;E;1008.8;13.4;14.0;0.0;3.0;10.2;10.2;687.3;0;0
222;30-08-2021 05:32;30;63;20.8;96;14.0;983.3;0.0;0.0;E;1008.3;13.4;14.0;0.0;2.7;10.2;10.2;687.3;0;0
223;30-08-2021 06:02;30;63;20.8;96;14.0;983.4;0.0;0.0;E;1008.4;13.4;14.0;0.0;2.7;10.2;10.2;687.3;0;0
224;30-08-2021 06:32;30;63;20.7;96;14.2;983.6;0.0;0.0;SE;1008.6;13.6;14.2;0.0;2.7;10.2;10.2;687.3;0;0
225;30-08-2021 07:02;30;63;20.7;96;14.8;983.6;1.1;2.5;SE;1008.6;14.2;14.8;0.0;2.4;10.2;10.2;687.3;1;1
226;30-08-2021 07:32;30;63;20.7;94;15.2;983.7;0.0;2.5;SE;1008.7;14.3;15.2;0.0;2.4;10.2;10.2;687.3;0;1
227;30-08-2021 08:02;30;63;20.7;91;15.5;984.0;0.0;0.0;SE;1009.0;14.1;15.5;0.0;2.4;10.2;10.2;687.3;0;0
228;30-08-2021 08:32;30;63;20.7;89;15.9;984.0;0.0;0.0;NE;1009.0;14.1;15.9;0.0;2.4;10.2;10.2;687.3;0;0
229;30-08-2021 09:02;30;63;20.6;88;16.3;984.0;1.1;3.6;SE;1009.0;14.3;16.3;0.0;2.1;10.2;10.2;687.3;1;1
230;30-08-2021 09:32;30;63;20.6;83;16.9;984.3;3.6;13.3;SE;1009.3;14.0;16.9;0.0;2.1;10.2;10.2;687.3;1;3
231;30-08-2021 10:02;30;63;20.6;81;17.5;984.2;0.0;1.1;S;1009.2;14.2;17.5;0.0;2.1;10.2;10.2;687.3;0;1
232;30-08-2021 10:32;30;63;20.7;78;18.0;984.5;0.0;3.6;SE;1009.5;14.1;18.0;0.0;2.1;10.2;10.2;687.3;0;1
233;30-08-2021 11:02;30;63;20.8;72;19.2;984.7;5.0;8.6;SE;1009.7;14.1;19.2;0.0;2.1;10.2;10.2;687.3;1;2
234;30-08-2021 11:32;30;63;20.8;76;17.8;984.9;5.0;9.7;SE;1009.9;13.5;17.8;0.0;2.1;10.2;10.2;687.3;1;2
235;30-08-2021 12:02;30;63;20.7;74;18.2;984.9;6.1;12.2;SE;1009.9;13.5;18.2;0.0;2.1;10.2;10.2;687.3;2;3
